Folder	ConsManifesto2015	ConsManifesto2015_Rel_Freq	GreenManifesto2015	GreenManifesto2015_Rel_Freq	LabourManifesto2015	LabourManifesto2015_Rel_Freq	LibdemManifesto2015	LibdemManifesto2015_Rel_Freq	PlaidCymruManifesto2015	PlaidCymruManifesto2015_Rel_Freq	SNPManifesto2015	SNPManifesto2015_Rel_Freq	UKIPManifesto2015	UKIPManifesto2015_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
A1.8-	4 	0.01	11 	0.03	3 	0.02	5 	0.02	4 	0.02	0	0.00	6 	0.02	33	0.02	6	9.24	0.17	0.19	
A1.9	14 	0.05	41 	0.10	11 	0.06	24 	0.07	8 	0.05	6 	0.03	11 	0.04	115	0.06	7	16.55	0.17	0.19	
A10+	47 	0.16	75 	0.19	18 	0.10	64 	0.20	32 	0.18	21 	0.12	53 	0.20	310	0.17	7	12.99	0.08	0.09	
A10-	18 	0.06	77 	0.20	16 	0.09	53 	0.16	8 	0.05	13 	0.07	26 	0.10	211	0.12	7	47.45	0.22	0.24	
A11	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.63	0.84	0.93	
A11.1+	133 	0.45	156 	0.40	92 	0.52	152 	0.47	61 	0.35	106 	0.59	135 	0.52	835	0.46	7	18.72	0.06	0.07	
A11.1+++	3 	0.01	2 	0.01	1 	0.01	2 	0.01	2 	0.01	0	0.00	3 	0.01	13	0.01	6	4.20	0.21	0.23	
A11.1-	1 	0.00	8 	0.02	2 	0.01	8 	0.02	5 	0.03	1 	0.01	18 	0.07	43	0.02	7	28.15	0.30	0.33	
A11.1--	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.01	2	0.00	1	7.72	0.85	0.95	
A11.2+	7 	0.02	2 	0.01	0	0.00	1 	0.00	1 	0.01	1 	0.01	5 	0.02	17	0.01	6	13.29	0.40	0.44	
A11.2-	1 	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	2 	0.01	5	0.00	4	5.70	0.39	0.44	
A12+	19 	0.06	18 	0.05	5 	0.03	12 	0.04	1 	0.01	3 	0.02	12 	0.05	70	0.04	7	16.21	0.17	0.19	
A12++	8 	0.03	4 	0.01	3 	0.02	15 	0.05	5 	0.03	9 	0.05	8 	0.03	52	0.03	7	12.75	0.19	0.21	
A12+++	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
A12-	46 	0.16	76 	0.19	45 	0.25	49 	0.15	35 	0.20	32 	0.18	50 	0.19	333	0.18	7	7.93	0.06	0.07	
A13	6 	0.02	15 	0.04	2 	0.01	1 	0.00	1 	0.01	4 	0.02	5 	0.02	34	0.02	7	15.50	0.26	0.28	
A13.1	17 	0.06	12 	0.03	4 	0.02	15 	0.05	0	0.00	5 	0.03	19 	0.07	72	0.04	6	25.33	0.22	0.25	
A13.2	45 	0.15	61 	0.15	11 	0.06	36 	0.11	11 	0.06	43 	0.24	47 	0.18	254	0.14	7	35.52	0.15	0.16	
A13.3	115 	0.39	179 	0.45	55 	0.31	110 	0.34	56 	0.32	91 	0.51	106 	0.40	712	0.39	7	17.61	0.07	0.07	
A13.3+++	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.63	0.84	0.93	
A13.4	22 	0.07	88 	0.22	6 	0.03	35 	0.11	18 	0.10	36 	0.20	19 	0.07	224	0.12	7	63.41	0.24	0.26	
A13.5	0	0.00	4 	0.01	0	0.00	1 	0.00	0	0.00	2 	0.01	2 	0.01	9	0.00	4	9.67	0.43	0.47	
A13.6	7 	0.02	38 	0.10	10 	0.06	8 	0.02	7 	0.04	5 	0.03	28 	0.11	103	0.06	7	36.95	0.28	0.31	
A13.7	27 	0.09	19 	0.05	10 	0.06	24 	0.07	6 	0.03	7 	0.04	17 	0.06	110	0.06	7	10.21	0.13	0.15	
A14	50 	0.17	91 	0.23	30 	0.17	54 	0.17	18 	0.10	17 	0.10	68 	0.26	328	0.18	7	29.43	0.12	0.13	
A15	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.86	0.85	0.95	
A15+	19 	0.06	23 	0.06	12 	0.07	22 	0.07	7 	0.04	3 	0.02	10 	0.04	96	0.05	7	10.73	0.13	0.15	
A15++	6 	0.02	4 	0.01	2 	0.01	1 	0.00	5 	0.03	7 	0.04	2 	0.01	27	0.01	7	13.56	0.31	0.34	
A15+++	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00	1	7.26	0.84	0.93	
A15-	16 	0.05	28 	0.07	11 	0.06	17 	0.05	1 	0.01	3 	0.02	19 	0.07	95	0.05	7	22.37	0.15	0.17	
A2.1	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	1	0.00	1	4.65	0.90	1.00	
A2.1+	167 	0.57	297 	0.75	146 	0.83	281 	0.87	114 	0.65	89 	0.50	156 	0.60	1250	0.69	7	41.88	0.08	0.09	
A2.1-	15 	0.05	18 	0.05	4 	0.02	15 	0.05	3 	0.02	2 	0.01	5 	0.02	62	0.03	7	13.23	0.21	0.24	
A2.2	99 	0.34	263 	0.67	76 	0.43	125 	0.39	97 	0.55	104 	0.58	133 	0.51	897	0.50	7	51.43	0.11	0.12	
A2.2-	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
A3	0	0.00	1 	0.00	0	0.00	2 	0.01	3 	0.02	2 	0.01	2 	0.01	10	0.01	5	9.72	0.38	0.42	
A3+	345 	1.17	724 	1.84	249 	1.41	357 	1.11	223 	1.27	264 	1.48	539 	2.06	2701	1.50	7	143.41	0.10	0.12	
A3-	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.44	0.82	0.91	
A4.1	34 	0.12	67 	0.17	26 	0.15	51 	0.16	30 	0.17	26 	0.15	46 	0.18	280	0.16	7	4.89	0.05	0.06	
A4.2+	12 	0.04	86 	0.22	8 	0.05	25 	0.08	15 	0.09	28 	0.16	24 	0.09	198	0.11	7	66.53	0.26	0.29	
A4.2-	0	0.00	4 	0.01	0	0.00	3 	0.01	0	0.00	1 	0.01	0	0.00	8	0.00	3	11.53	0.50	0.56	
A4.2--	1 	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1 	0.00	3	0.00	3	5.55	0.59	0.66	
A4.2---	1 	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00	2	3.90	0.62	0.69	
A5	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.63	0.84	0.93	
A5.1	35 	0.12	36 	0.09	30 	0.17	63 	0.20	26 	0.15	3 	0.02	19 	0.07	212	0.12	7	50.63	0.19	0.21	
A5.1+	143 	0.49	192 	0.49	97 	0.55	180 	0.56	76 	0.43	66 	0.37	71 	0.27	825	0.46	7	37.68	0.08	0.09	
A5.1++	70 	0.24	49 	0.12	53 	0.30	53 	0.16	42 	0.24	45 	0.25	21 	0.08	333	0.18	7	50.62	0.17	0.19	
A5.1+++	83 	0.28	22 	0.06	34 	0.19	34 	0.11	41 	0.23	25 	0.14	31 	0.12	270	0.15	7	73.64	0.23	0.25	
A5.1++++	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.86	0.85	0.95	
A5.1++++++	3 	0.01	3 	0.01	0	0.00	0	0.00	3 	0.02	4 	0.02	0	0.00	13	0.01	4	16.66	0.42	0.47	
A5.1-	11 	0.04	29 	0.07	11 	0.06	15 	0.05	12 	0.07	10 	0.06	22 	0.08	110	0.06	7	7.52	0.11	0.13	
A5.1--	0	0.00	3 	0.01	2 	0.01	1 	0.00	0	0.00	0	0.00	2 	0.01	8	0.00	4	8.44	0.41	0.46	
A5.1---	1 	0.00	12 	0.03	0	0.00	1 	0.00	0	0.00	2 	0.01	9 	0.03	25	0.01	5	28.57	0.48	0.53	
A5.2+	17 	0.06	22 	0.06	11 	0.06	26 	0.08	7 	0.04	3 	0.02	36 	0.14	122	0.07	7	28.79	0.18	0.20	
A5.2-	3 	0.01	12 	0.03	2 	0.01	10 	0.03	1 	0.01	2 	0.01	9 	0.03	39	0.02	7	11.36	0.25	0.28	
A5.3+	48 	0.16	33 	0.08	15 	0.08	39 	0.12	18 	0.10	10 	0.06	25 	0.10	188	0.10	7	16.58	0.12	0.13	
A5.3-	7 	0.02	14 	0.04	4 	0.02	5 	0.02	3 	0.02	5 	0.03	8 	0.03	46	0.03	7	3.80	0.12	0.14	
A5.4+	16 	0.05	32 	0.08	11 	0.06	18 	0.06	5 	0.03	7 	0.04	19 	0.07	108	0.06	7	8.67	0.11	0.12	
A5.4-	7 	0.02	4 	0.01	0	0.00	5 	0.02	1 	0.01	0	0.00	9 	0.03	26	0.01	5	18.73	0.32	0.36	
A6	0	0.00	1 	0.00	0	0.00	1 	0.00	0	0.00	1 	0.01	0	0.00	3	0.00	3	4.52	0.50	0.56	
A6.1	2 	0.01	9 	0.02	1 	0.01	0	0.00	0	0.00	3 	0.02	1 	0.00	16	0.01	5	17.21	0.43	0.48	
A6.1+	39 	0.13	113 	0.29	26 	0.15	63 	0.20	38 	0.22	49 	0.27	49 	0.19	377	0.21	7	27.47	0.12	0.13	
A6.1+++	13 	0.04	34 	0.09	11 	0.06	21 	0.07	16 	0.09	23 	0.13	15 	0.06	133	0.07	7	13.22	0.13	0.15	
A6.1-	56 	0.19	229 	0.58	50 	0.28	117 	0.36	52 	0.30	70 	0.39	118 	0.45	692	0.38	7	81.85	0.14	0.16	
A6.2+	35 	0.12	130 	0.33	27 	0.15	51 	0.16	16 	0.09	27 	0.15	26 	0.10	312	0.17	7	69.03	0.20	0.22	
A6.2++	1 	0.00	1 	0.00	0	0.00	3 	0.01	1 	0.01	1 	0.01	0	0.00	7	0.00	5	5.63	0.34	0.38	
A6.2-	3 	0.01	11 	0.03	1 	0.01	5 	0.02	4 	0.02	0	0.00	6 	0.02	30	0.02	6	11.92	0.24	0.26	
A6.3+	6 	0.02	26 	0.07	3 	0.02	15 	0.05	2 	0.01	3 	0.02	8 	0.03	63	0.03	7	19.83	0.25	0.28	
A7	1 	0.00	2 	0.01	0	0.00	3 	0.01	2 	0.01	2 	0.01	5 	0.02	15	0.01	6	7.66	0.28	0.31	
A7+	294 	1.00	497 	1.26	168 	0.95	398 	1.23	258 	1.46	224 	1.26	246 	0.94	2085	1.16	7	44.68	0.07	0.07	
A7++	1 	0.00	0	0.00	0	0.00	1 	0.00	1 	0.01	1 	0.01	0	0.00	4	0.00	4	5.26	0.46	0.51	
A7+++	1 	0.00	2 	0.01	0	0.00	1 	0.00	4 	0.02	1 	0.01	3 	0.01	12	0.01	6	8.79	0.34	0.38	
A7-	3 	0.01	16 	0.04	9 	0.05	4 	0.01	0	0.00	5 	0.03	8 	0.03	45	0.02	6	21.87	0.28	0.31	
A8	3 	0.01	5 	0.01	0	0.00	6 	0.02	0	0.00	2 	0.01	6 	0.02	22	0.01	5	11.61	0.23	0.25	
A9	0	0.00	3 	0.01	6 	0.03	1 	0.00	1 	0.01	0	0.00	1 	0.00	12	0.01	5	17.41	0.43	0.48	
A9+	397 	1.35	445 	1.13	198 	1.12	338 	1.05	213 	1.21	179 	1.00	314 	1.20	2084	1.16	7	17.64	0.04	0.04	
A9-	205 	0.70	292 	0.74	153 	0.87	217 	0.67	135 	0.77	107 	0.60	174 	0.66	1283	0.71	7	11.62	0.04	0.04	
B1	33 	0.11	68 	0.17	32 	0.18	50 	0.15	35 	0.20	12 	0.07	45 	0.17	275	0.15	7	18.93	0.10	0.11	
B2	24 	0.08	69 	0.17	26 	0.15	56 	0.17	21 	0.12	17 	0.10	30 	0.11	243	0.13	7	18.42	0.13	0.14	
B2+	18 	0.06	24 	0.06	4 	0.02	30 	0.09	14 	0.08	7 	0.04	10 	0.04	107	0.06	7	15.25	0.15	0.16	
B2++	0	0.00	4 	0.01	0	0.00	2 	0.01	1 	0.01	2 	0.01	0	0.00	9	0.00	4	10.04	0.41	0.45	
B2-	63 	0.21	106 	0.27	38 	0.22	87 	0.27	36 	0.20	20 	0.11	67 	0.26	417	0.23	7	19.56	0.08	0.09	
B3	129 	0.44	118 	0.30	53 	0.30	117 	0.36	91 	0.52	23 	0.13	121 	0.46	652	0.36	7	63.61	0.12	0.13	
B4	12 	0.04	4 	0.01	1 	0.01	10 	0.03	4 	0.02	4 	0.02	8 	0.03	43	0.02	7	11.56	0.21	0.23	
B5	17 	0.06	15 	0.04	12 	0.07	15 	0.05	202 	1.15	7 	0.04	14 	0.05	282	0.16	7	622.99	0.62	0.69	
B5-	1 	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	2 	0.01	4	0.00	3	7.68	0.59	0.66	
C1	22 	0.07	57 	0.14	32 	0.18	32 	0.10	24 	0.14	8 	0.04	33 	0.13	208	0.12	7	24.77	0.14	0.16	
E1	1 	0.00	3 	0.01	3 	0.02	1 	0.00	0	0.00	0	0.00	2 	0.01	10	0.01	5	7.76	0.34	0.37	
E2	0	0.00	1 	0.00	1 	0.01	1 	0.00	0	0.00	0	0.00	3 	0.01	6	0.00	4	7.80	0.42	0.47	
E2+	25 	0.09	15 	0.04	8 	0.05	13 	0.04	2 	0.01	6 	0.03	17 	0.06	86	0.05	7	17.57	0.18	0.20	
E2++	1 	0.00	6 	0.02	3 	0.02	4 	0.01	0	0.00	1 	0.01	5 	0.02	20	0.01	6	8.96	0.26	0.29	
E2+++	0	0.00	0	0.00	0	0.00	1 	0.00	1 	0.01	0	0.00	0	0.00	2	0.00	2	5.32	0.72	0.80	
E2-	3 	0.01	4 	0.01	5 	0.03	7 	0.02	5 	0.03	0	0.00	2 	0.01	26	0.01	6	11.83	0.28	0.31	
E3+	16 	0.05	19 	0.05	11 	0.06	17 	0.05	4 	0.02	3 	0.02	10 	0.04	80	0.04	7	8.87	0.13	0.14	
E3-	46 	0.16	53 	0.13	55 	0.31	52 	0.16	26 	0.15	7 	0.04	48 	0.18	287	0.16	7	45.89	0.12	0.13	
E4.1+	7 	0.02	15 	0.04	7 	0.04	10 	0.03	8 	0.05	8 	0.04	16 	0.06	71	0.04	7	5.71	0.11	0.12	
E4.1++	0	0.00	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00	1	6.08	0.78	0.87	
E4.1-	8 	0.03	15 	0.04	2 	0.01	9 	0.03	2 	0.01	2 	0.01	17 	0.06	55	0.03	7	17.00	0.22	0.24	
E4.1--	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.63	0.84	0.93	
E4.2+	8 	0.03	15 	0.04	12 	0.07	14 	0.04	3 	0.02	6 	0.03	9 	0.03	67	0.04	7	7.32	0.12	0.13	
E4.2-	1 	0.00	4 	0.01	2 	0.01	0	0.00	1 	0.01	0	0.00	0	0.00	8	0.00	4	10.33	0.46	0.51	
E5+	1 	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	1 	0.00	3	0.00	3	5.55	0.59	0.66	
E5-	5 	0.02	7 	0.02	3 	0.02	6 	0.02	0	0.00	2 	0.01	18 	0.07	41	0.02	6	26.50	0.29	0.33	
E6+	11 	0.04	7 	0.02	10 	0.06	19 	0.06	4 	0.02	3 	0.02	13 	0.05	67	0.04	7	14.63	0.21	0.23	
E6-	11 	0.04	24 	0.06	22 	0.12	13 	0.04	8 	0.05	9 	0.05	26 	0.10	113	0.06	7	20.96	0.18	0.20	
F1	32 	0.11	106 	0.27	10 	0.06	35 	0.11	33 	0.19	23 	0.13	27 	0.10	266	0.15	7	57.53	0.21	0.23	
F1-	2 	0.01	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	4	0.00	3	5.84	0.47	0.52	
F2	11 	0.04	17 	0.04	3 	0.02	12 	0.04	12 	0.07	8 	0.04	15 	0.06	78	0.04	7	7.43	0.11	0.12	
F2++	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.01	0	0.00	0	0.00	2	0.00	1	9.30	0.90	1.00	
F3	2 	0.01	12 	0.03	3 	0.02	12 	0.04	4 	0.02	2 	0.01	5 	0.02	40	0.02	7	9.64	0.20	0.23	
F4	30 	0.10	84 	0.21	4 	0.02	46 	0.14	37 	0.21	22 	0.12	61 	0.23	284	0.16	7	58.53	0.18	0.20	
G1.1	426 	1.45	587 	1.49	278 	1.57	456 	1.41	239 	1.36	351 	1.97	378 	1.44	2715	1.51	7	29.60	0.03	0.04	
G1.1-	1 	0.00	33 	0.08	4 	0.02	7 	0.02	8 	0.05	6 	0.03	4 	0.02	63	0.03	7	40.01	0.33	0.37	
G1.2	185 	0.63	194 	0.49	125 	0.71	131 	0.41	74 	0.42	178 	1.00	336 	1.28	1223	0.68	7	220.13	0.18	0.20	
G1.2-	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	4.63	0.90	1.00	
G2.1	222 	0.76	216 	0.55	126 	0.71	329 	1.02	116 	0.66	60 	0.34	210 	0.80	1279	0.71	7	102.29	0.11	0.12	
G2.1+	7 	0.02	16 	0.04	6 	0.03	30 	0.09	15 	0.09	6 	0.03	14 	0.05	94	0.05	7	20.82	0.21	0.23	
G2.1-	97 	0.33	75 	0.19	44 	0.25	114 	0.35	30 	0.17	17 	0.10	83 	0.32	460	0.26	7	56.77	0.15	0.17	
G2.2	2 	0.01	9 	0.02	3 	0.02	4 	0.01	2 	0.01	3 	0.02	5 	0.02	28	0.02	7	3.68	0.15	0.17	
G2.2+	25 	0.09	57 	0.14	13 	0.07	54 	0.17	26 	0.15	21 	0.12	15 	0.06	211	0.12	7	25.78	0.15	0.17	
G2.2++	17 	0.06	5 	0.01	5 	0.03	13 	0.04	9 	0.05	18 	0.10	5 	0.02	72	0.04	7	28.44	0.25	0.28	
G2.2-	18 	0.06	32 	0.08	22 	0.12	24 	0.07	6 	0.03	11 	0.06	33 	0.13	146	0.08	7	17.90	0.13	0.15	
G3	54 	0.18	56 	0.14	29 	0.16	40 	0.12	42 	0.24	21 	0.12	87 	0.33	329	0.18	7	44.29	0.15	0.17	
G3-	0	0.00	4 	0.01	1 	0.01	3 	0.01	2 	0.01	0	0.00	1 	0.00	11	0.01	5	8.00	0.32	0.36	
H1	102 	0.35	136 	0.34	79 	0.45	130 	0.40	61 	0.35	39 	0.22	105 	0.40	652	0.36	7	18.21	0.06	0.07	
H2	26 	0.09	32 	0.08	15 	0.08	24 	0.07	12 	0.07	15 	0.08	36 	0.14	160	0.09	7	8.05	0.08	0.09	
H3	3 	0.01	7 	0.02	2 	0.01	42 	0.13	8 	0.05	0	0.00	13 	0.05	75	0.04	6	76.32	0.42	0.46	
H4	133 	0.45	228 	0.58	90 	0.51	153 	0.47	58 	0.33	45 	0.25	92 	0.35	799	0.44	7	45.58	0.10	0.11	
H4-	3 	0.01	5 	0.01	6 	0.03	3 	0.01	2 	0.01	0	0.00	15 	0.06	34	0.02	6	26.50	0.37	0.42	
H5	5 	0.02	10 	0.03	5 	0.03	8 	0.02	5 	0.03	10 	0.06	12 	0.05	55	0.03	7	7.68	0.16	0.17	
I1	180 	0.61	209 	0.53	86 	0.49	188 	0.58	75 	0.43	136 	0.76	164 	0.63	1038	0.58	7	23.29	0.06	0.06	
I1.1	437 	1.49	745 	1.89	236 	1.34	426 	1.32	206 	1.17	358 	2.01	288 	1.10	2696	1.49	7	119.72	0.09	0.10	
I1.1+	21 	0.07	68 	0.17	24 	0.14	34 	0.11	17 	0.10	25 	0.14	20 	0.08	209	0.12	7	21.61	0.14	0.16	
I1.1++	3 	0.01	3 	0.01	2 	0.01	0	0.00	0	0.00	3 	0.02	0	0.00	11	0.01	4	12.99	0.42	0.47	
I1.1+++	3 	0.01	1 	0.00	2 	0.01	2 	0.01	1 	0.01	0	0.00	1 	0.00	10	0.01	6	4.70	0.26	0.29	
I1.1-	18 	0.06	66 	0.17	14 	0.08	23 	0.07	13 	0.07	22 	0.12	15 	0.06	171	0.09	7	31.15	0.20	0.22	
I1.1--	1 	0.00	18 	0.05	1 	0.01	3 	0.01	0	0.00	0	0.00	2 	0.01	25	0.01	5	33.53	0.50	0.56	
I1.1---	4 	0.01	3 	0.01	3 	0.02	4 	0.01	1 	0.01	2 	0.01	3 	0.01	20	0.01	7	1.74	0.12	0.13	
I1.2	198 	0.67	351 	0.89	85 	0.48	125 	0.39	45 	0.26	121 	0.68	160 	0.61	1085	0.60	7	129.32	0.14	0.15	
I1.2+	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	2	0.00	2	4.13	0.64	0.71	
I1.2-	1 	0.00	2 	0.01	2 	0.01	2 	0.01	1 	0.01	0	0.00	3 	0.01	11	0.01	6	4.28	0.21	0.24	
I1.3	55 	0.19	159 	0.40	49 	0.28	83 	0.26	29 	0.16	44 	0.25	94 	0.36	513	0.28	7	45.45	0.13	0.14	
I1.3+	18 	0.06	26 	0.07	6 	0.03	9 	0.03	5 	0.03	8 	0.04	11 	0.04	83	0.05	7	9.12	0.15	0.16	
I1.3+++	1 	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	2 	0.01	4	0.00	3	6.47	0.51	0.57	
I1.3-	77 	0.26	75 	0.19	37 	0.21	57 	0.18	29 	0.16	48 	0.27	41 	0.16	364	0.20	7	14.01	0.09	0.09	
I1.3-+++	1 	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	2	0.00	2	5.51	0.74	0.82	
I1.3--	0	0.00	2 	0.01	0	0.00	2 	0.01	0	0.00	0	0.00	1 	0.00	5	0.00	3	6.28	0.46	0.51	
I1.3---	1 	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00	2	5.50	0.74	0.82	
I2	7 	0.02	0	0.00	1 	0.01	3 	0.01	0	0.00	0	0.00	2 	0.01	13	0.01	4	18.02	0.44	0.48	
I2.1	192 	0.65	219 	0.56	128 	0.72	196 	0.61	114 	0.65	150 	0.84	145 	0.55	1144	0.63	7	20.53	0.05	0.06	
I2.1-	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
I2.2	133 	0.45	236 	0.60	63 	0.36	175 	0.54	51 	0.29	49 	0.27	157 	0.60	864	0.48	7	61.07	0.11	0.13	
I3.1	283 	0.96	299 	0.76	254 	1.44	348 	1.08	286 	1.62	190 	1.07	206 	0.79	1866	1.03	7	126.28	0.10	0.12	
I3.1-	28 	0.10	14 	0.04	12 	0.07	11 	0.03	6 	0.03	10 	0.06	17 	0.06	98	0.05	7	15.76	0.18	0.20	
I3.2	1 	0.00	2 	0.01	1 	0.01	1 	0.00	4 	0.02	0	0.00	2 	0.01	11	0.01	6	8.01	0.30	0.34	
I3.2+	3 	0.01	10 	0.03	3 	0.02	3 	0.01	4 	0.02	1 	0.01	12 	0.05	36	0.02	7	13.66	0.26	0.29	
I3.2-	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	2 	0.01	3	0.00	2	8.55	0.76	0.84	
I4	24 	0.08	36 	0.09	19 	0.11	38 	0.12	17 	0.10	18 	0.10	26 	0.10	178	0.10	7	2.41	0.05	0.05	
K1	22 	0.07	30 	0.08	25 	0.14	42 	0.13	24 	0.14	12 	0.07	24 	0.09	179	0.10	7	14.27	0.13	0.15	
K2	5 	0.02	5 	0.01	0	0.00	10 	0.03	0	0.00	4 	0.02	8 	0.03	32	0.02	5	17.96	0.26	0.29	
