Folder	BrexitPartyManifesto2019	BrexitPartyManifesto2019_Rel_Freq	ConsManifesto2019	ConsManifesto2019_Rel_Freq	GreenManifesto2019	GreenManifesto2019_Rel_Freq	LabourManifesto2019	LabourManifesto2019_Rel_Freq	LibdemManifesto2019	LibdemManifesto2019_Rel_Freq	PlaidCymruManifesto2019	PlaidCymruManifesto2019_Rel_Freq	SNPManifesto2019	SNPManifesto2019_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
A12++++	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.69	0.84	0.85	
A12-	1 	0.05	25 	0.12	32 	0.14	65 	0.26	85 	0.32	31 	0.19	45 	0.21	284	0.21	7	34.74	0.15	0.15	
A13	0	0.00	3 	0.01	3 	0.01	3 	0.01	4 	0.02	8 	0.05	9 	0.04	30	0.02	6	11.18	0.28	0.29	
A13.1	1 	0.05	6 	0.03	3 	0.01	8 	0.03	8 	0.03	4 	0.02	4 	0.02	34	0.03	7	3.26	0.13	0.13	
A13.2	3 	0.16	36 	0.18	25 	0.11	39 	0.16	35 	0.13	23 	0.14	41 	0.19	202	0.15	7	7.01	0.08	0.08	
A13.3	4 	0.21	87 	0.43	68 	0.30	72 	0.29	84 	0.32	58 	0.35	57 	0.27	430	0.32	7	10.99	0.06	0.06	
A13.3+++	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	1	0.00	1	3.26	0.80	0.82	
A13.4	0	0.00	21 	0.10	22 	0.10	16 	0.06	23 	0.09	15 	0.09	36 	0.17	133	0.10	6	16.71	0.12	0.12	
A13.5	0	0.00	0	0.00	0	0.00	1 	0.00	2 	0.01	0	0.00	0	0.00	3	0.00	2	6.06	0.62	0.63	
A13.6	1 	0.05	4 	0.02	6 	0.03	13 	0.05	6 	0.02	5 	0.03	12 	0.06	47	0.04	7	7.90	0.20	0.20	
A13.7	1 	0.05	9 	0.04	11 	0.05	13 	0.05	15 	0.06	9 	0.05	10 	0.05	68	0.05	7	0.47	0.04	0.04	
A14	2 	0.11	38 	0.19	32 	0.14	38 	0.15	66 	0.25	17 	0.10	30 	0.14	223	0.17	7	17.94	0.12	0.12	
A15	0	0.00	0	0.00	0	0.00	1 	0.00	1 	0.00	0	0.00	1 	0.00	3	0.00	3	3.73	0.46	0.47	
A15+	0	0.00	23 	0.11	17 	0.07	23 	0.09	16 	0.06	9 	0.05	19 	0.09	107	0.08	6	9.35	0.11	0.11	
A15++	0	0.00	5 	0.02	5 	0.02	6 	0.02	0	0.00	1 	0.01	3 	0.01	20	0.01	5	12.52	0.29	0.30	
A15+++	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.79	0.85	0.86	
A15++++	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.01	2	0.00	1	7.39	0.84	0.85	
A15-	0	0.00	9 	0.04	14 	0.06	25 	0.10	30 	0.11	7 	0.04	27 	0.13	112	0.08	6	21.08	0.19	0.20	
A2.1	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.54	0.83	0.84	
A2.1+	22 	1.17	86 	0.43	258 	1.14	211 	0.85	218 	0.83	124 	0.74	125 	0.59	1044	0.78	7	86.94	0.11	0.11	
A2.1-	1 	0.05	6 	0.03	4 	0.02	8 	0.03	10 	0.04	4 	0.02	6 	0.03	39	0.03	7	2.43	0.09	0.10	
A2.2	4 	0.21	87 	0.43	137 	0.60	84 	0.34	121 	0.46	119 	0.71	90 	0.43	642	0.48	7	40.27	0.10	0.10	
A2.2-	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.54	0.83	0.84	
A3	1 	0.05	0	0.00	2 	0.01	1 	0.00	1 	0.00	2 	0.01	1 	0.00	8	0.01	6	6.50	0.32	0.32	
A3+	26 	1.38	342 	1.70	253 	1.11	263 	1.06	398 	1.52	284 	1.70	317 	1.51	1883	1.41	7	62.63	0.08	0.08	
A3-	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.79	0.85	0.86	
A4.1	3 	0.16	24 	0.12	43 	0.19	44 	0.18	38 	0.15	32 	0.19	42 	0.20	226	0.17	7	6.39	0.07	0.07	
A4.2+	2 	0.11	11 	0.05	14 	0.06	9 	0.04	24 	0.09	12 	0.07	12 	0.06	84	0.06	7	7.33	0.12	0.12	
A4.2-	1 	0.05	0	0.00	0	0.00	4 	0.02	0	0.00	2 	0.01	0	0.00	7	0.01	3	16.91	0.67	0.68	
A4.2--	0	0.00	1 	0.00	1 	0.00	1 	0.00	4 	0.02	2 	0.01	0	0.00	9	0.01	5	6.34	0.35	0.35	
A4.2---	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.37	0.81	0.83	
A5.1	0	0.00	29 	0.14	37 	0.16	53 	0.21	35 	0.13	18 	0.11	17 	0.08	189	0.14	6	22.06	0.12	0.12	
A5.1+	9 	0.48	116 	0.58	113 	0.50	93 	0.38	128 	0.49	37 	0.22	47 	0.22	543	0.41	7	59.92	0.14	0.15	
A5.1++	2 	0.11	34 	0.17	40 	0.18	33 	0.13	39 	0.15	20 	0.12	30 	0.14	198	0.15	7	3.40	0.05	0.05	
A5.1+++	3 	0.16	55 	0.27	7 	0.03	22 	0.09	25 	0.10	20 	0.12	26 	0.12	158	0.12	7	54.18	0.21	0.21	
A5.1++++++	0	0.00	1 	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	3 	0.01	5	0.00	3	8.73	0.51	0.51	
A5.1-	1 	0.05	8 	0.04	5 	0.02	22 	0.09	21 	0.08	11 	0.07	10 	0.05	78	0.06	7	14.00	0.18	0.19	
A5.1--	0	0.00	0	0.00	0	0.00	4 	0.02	3 	0.01	2 	0.01	1 	0.00	10	0.01	4	9.64	0.39	0.40	
A5.1---	0	0.00	3 	0.01	2 	0.01	11 	0.04	2 	0.01	3 	0.02	11 	0.05	32	0.02	6	17.49	0.34	0.35	
A5.2+	0	0.00	9 	0.04	15 	0.07	13 	0.05	22 	0.08	11 	0.07	8 	0.04	78	0.06	6	7.74	0.12	0.13	
A5.2-	1 	0.05	2 	0.01	2 	0.01	3 	0.01	6 	0.02	2 	0.01	3 	0.01	19	0.01	7	3.32	0.16	0.16	
A5.3+	0	0.00	13 	0.06	19 	0.08	27 	0.11	42 	0.16	9 	0.05	17 	0.08	127	0.10	6	20.39	0.16	0.16	
A5.3-	0	0.00	1 	0.00	0	0.00	3 	0.01	3 	0.01	4 	0.02	2 	0.01	13	0.01	5	8.01	0.26	0.27	
A5.4+	2 	0.11	4 	0.02	9 	0.04	12 	0.05	16 	0.06	8 	0.05	4 	0.02	55	0.04	7	9.91	0.17	0.17	
A5.4-	0	0.00	3 	0.01	2 	0.01	4 	0.02	3 	0.01	3 	0.02	2 	0.01	17	0.01	6	1.60	0.13	0.13	
A6	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1 	0.01	2 	0.01	4	0.00	3	6.48	0.52	0.53	
A6.1	0	0.00	0	0.00	0	0.00	1 	0.00	2 	0.01	2 	0.01	2 	0.01	7	0.01	4	6.65	0.38	0.38	
A6.1+	1 	0.05	31 	0.15	40 	0.18	81 	0.33	64 	0.24	29 	0.17	44 	0.21	290	0.22	7	23.70	0.12	0.12	
A6.1+++	0	0.00	12 	0.06	16 	0.07	14 	0.06	16 	0.06	11 	0.07	10 	0.05	79	0.06	6	3.38	0.05	0.05	
A6.1-	3 	0.16	57 	0.28	69 	0.30	108 	0.44	112 	0.43	56 	0.33	84 	0.40	489	0.37	7	16.15	0.08	0.08	
A6.2+	4 	0.21	23 	0.11	45 	0.20	39 	0.16	45 	0.17	25 	0.15	33 	0.16	214	0.16	7	5.51	0.06	0.06	
A6.2++	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	1	0.00	1	3.26	0.80	0.82	
A6.2-	0	0.00	6 	0.03	10 	0.04	0	0.00	2 	0.01	1 	0.01	4 	0.02	23	0.02	5	20.77	0.39	0.40	
A6.3+	0	0.00	1 	0.00	12 	0.05	6 	0.02	20 	0.08	4 	0.02	6 	0.03	49	0.04	6	22.60	0.29	0.29	
A7	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	1 	0.01	3 	0.01	5	0.00	3	9.09	0.53	0.54	
A7+	25 	1.33	257 	1.28	213 	0.94	263 	1.06	257 	0.98	217 	1.30	256 	1.22	1488	1.11	7	23.50	0.06	0.06	
A7++	0	0.00	1 	0.00	1 	0.00	2 	0.01	2 	0.01	0	0.00	0	0.00	6	0.00	4	4.62	0.30	0.31	
A7+++	0	0.00	2 	0.01	3 	0.01	1 	0.00	1 	0.00	2 	0.01	2 	0.01	11	0.01	6	2.67	0.21	0.22	
A7-	0	0.00	7 	0.03	4 	0.02	15 	0.06	8 	0.03	5 	0.03	8 	0.04	47	0.04	6	7.82	0.15	0.15	
A8	0	0.00	2 	0.01	1 	0.00	4 	0.02	9 	0.03	0	0.00	2 	0.01	18	0.01	5	13.42	0.34	0.35	
A9	0	0.00	5 	0.02	2 	0.01	1 	0.00	4 	0.02	2 	0.01	0	0.00	14	0.01	5	9.55	0.31	0.32	
A9+	20 	1.06	261 	1.30	203 	0.89	258 	1.04	279 	1.07	189 	1.13	242 	1.15	1452	1.09	7	17.61	0.04	0.04	
A9-	11 	0.58	105 	0.52	210 	0.93	198 	0.80	216 	0.83	102 	0.61	114 	0.54	956	0.72	7	43.92	0.10	0.10	
B1	1 	0.05	36 	0.18	36 	0.16	74 	0.30	64 	0.24	28 	0.17	46 	0.22	285	0.21	7	18.38	0.11	0.11	
B2	2 	0.11	15 	0.07	21 	0.09	47 	0.19	97 	0.37	30 	0.18	12 	0.06	224	0.17	7	91.97	0.27	0.27	
B2+	3 	0.16	2 	0.01	20 	0.09	15 	0.06	42 	0.16	11 	0.07	6 	0.03	99	0.07	7	48.00	0.28	0.28	
B2++	0	0.00	4 	0.02	3 	0.01	1 	0.00	2 	0.01	1 	0.01	0	0.00	11	0.01	5	7.51	0.32	0.32	
B2+++	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	1	0.00	1	3.26	0.80	0.82	
B2-	0	0.00	51 	0.25	22 	0.10	82 	0.33	50 	0.19	43 	0.26	17 	0.08	265	0.20	6	64.72	0.20	0.21	
B3	14 	0.74	97 	0.48	95 	0.42	101 	0.41	129 	0.49	81 	0.48	32 	0.15	549	0.41	7	57.98	0.10	0.10	
B4	0	0.00	6 	0.03	5 	0.02	1 	0.00	3 	0.01	1 	0.01	4 	0.02	20	0.01	6	7.94	0.27	0.28	
B5	2 	0.11	11 	0.05	8 	0.04	15 	0.06	13 	0.05	138 	0.82	16 	0.08	203	0.15	7	340.02	0.55	0.56	
B5-	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	4.15	0.87	0.89	
C1	0	0.00	27 	0.13	26 	0.11	32 	0.13	23 	0.09	14 	0.08	10 	0.05	132	0.10	6	16.36	0.14	0.14	
E1	0	0.00	1 	0.00	5 	0.02	0	0.00	5 	0.02	1 	0.01	1 	0.00	13	0.01	5	11.14	0.40	0.41	
E1-	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.79	0.85	0.86	
E2	0	0.00	0	0.00	0	0.00	2 	0.01	0	0.00	0	0.00	1 	0.00	3	0.00	2	6.61	0.66	0.67	
E2+	1 	0.05	10 	0.05	15 	0.07	9 	0.04	8 	0.03	8 	0.05	4 	0.02	55	0.04	7	7.54	0.16	0.16	
E2++	0	0.00	0	0.00	2 	0.01	2 	0.01	2 	0.01	0	0.00	0	0.00	6	0.00	3	7.15	0.45	0.45	
E2+++	1 	0.05	0	0.00	0	0.00	2 	0.01	0	0.00	0	0.00	0	0.00	3	0.00	2	11.43	0.80	0.81	
E2-	1 	0.05	3 	0.01	11 	0.05	5 	0.02	5 	0.02	7 	0.04	1 	0.00	33	0.02	7	12.73	0.27	0.27	
E3+	0	0.00	5 	0.02	14 	0.06	18 	0.07	11 	0.04	12 	0.07	10 	0.05	70	0.05	6	9.40	0.15	0.15	
E3-	3 	0.16	47 	0.23	41 	0.18	67 	0.27	73 	0.28	43 	0.26	36 	0.17	310	0.23	7	11.25	0.08	0.09	
E4.1+	1 	0.05	8 	0.04	7 	0.03	4 	0.02	6 	0.02	6 	0.04	2 	0.01	34	0.03	7	6.50	0.19	0.19	
E4.1++	0	0.00	2 	0.01	3 	0.01	0	0.00	1 	0.00	0	0.00	0	0.00	6	0.00	3	9.32	0.51	0.52	
E4.1-	1 	0.05	11 	0.05	6 	0.03	12 	0.05	14 	0.05	9 	0.05	8 	0.04	61	0.05	7	3.42	0.10	0.10	
E4.2+	0	0.00	24 	0.12	5 	0.02	14 	0.06	8 	0.03	0	0.00	1 	0.00	52	0.04	5	50.33	0.39	0.40	
E4.2-	0	0.00	2 	0.01	0	0.00	0	0.00	2 	0.01	0	0.00	1 	0.00	5	0.00	3	7.23	0.50	0.50	
E5+	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.79	0.85	0.86	
E5-	1 	0.05	1 	0.00	8 	0.04	7 	0.03	11 	0.04	2 	0.01	1 	0.00	31	0.02	7	15.19	0.30	0.31	
E6+	1 	0.05	11 	0.05	4 	0.02	8 	0.03	10 	0.04	1 	0.01	2 	0.01	37	0.03	7	14.12	0.26	0.27	
E6-	1 	0.05	13 	0.06	10 	0.04	14 	0.06	23 	0.09	14 	0.08	12 	0.06	87	0.07	7	5.00	0.10	0.11	
F1	2 	0.11	10 	0.05	66 	0.29	40 	0.16	31 	0.12	29 	0.17	42 	0.20	220	0.16	7	45.83	0.17	0.17	
F1-	0	0.00	0	0.00	1 	0.00	3 	0.01	1 	0.00	1 	0.01	0	0.00	6	0.00	4	6.14	0.36	0.36	
F2	0	0.00	9 	0.04	12 	0.05	8 	0.03	7 	0.03	8 	0.05	19 	0.09	63	0.05	6	12.52	0.17	0.17	
F3	1 	0.05	4 	0.02	8 	0.04	5 	0.02	10 	0.04	9 	0.05	2 	0.01	39	0.03	7	9.24	0.21	0.22	
F4	3 	0.16	27 	0.13	93 	0.41	24 	0.10	26 	0.10	58 	0.35	47 	0.22	278	0.21	7	90.69	0.26	0.26	
G1.1	29 	1.54	277 	1.38	353 	1.56	325 	1.31	361 	1.38	218 	1.30	525 	2.49	2088	1.56	7	127.42	0.09	0.09	
G1.1-	2 	0.11	3 	0.01	11 	0.05	16 	0.06	5 	0.02	9 	0.05	3 	0.01	49	0.04	7	17.64	0.28	0.28	
G1.2	28 	1.49	175 	0.87	174 	0.77	375 	1.51	249 	0.95	115 	0.69	207 	0.98	1323	0.99	7	96.07	0.10	0.11	
G1.2-	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	1	0.00	1	3.26	0.80	0.82	
G2.1	12 	0.64	148 	0.74	124 	0.55	241 	0.97	169 	0.65	152 	0.91	121 	0.57	967	0.72	7	46.54	0.10	0.10	
G2.1+	0	0.00	7 	0.03	18 	0.08	37 	0.15	11 	0.04	13 	0.08	10 	0.05	96	0.07	6	29.20	0.23	0.23	
G2.1-	11 	0.58	59 	0.29	51 	0.22	73 	0.29	53 	0.20	57 	0.34	25 	0.12	329	0.25	7	35.40	0.13	0.13	
G2.2	0	0.00	2 	0.01	6 	0.03	9 	0.04	6 	0.02	2 	0.01	5 	0.02	30	0.02	6	5.56	0.16	0.16	
G2.2+	3 	0.16	28 	0.14	21 	0.09	23 	0.09	32 	0.12	22 	0.13	42 	0.20	171	0.13	7	12.71	0.11	0.11	
G2.2++	0	0.00	6 	0.03	5 	0.02	9 	0.04	4 	0.02	2 	0.01	7 	0.03	33	0.02	6	5.39	0.17	0.17	
G2.2-	1 	0.05	14 	0.07	11 	0.05	43 	0.17	19 	0.07	12 	0.07	24 	0.11	124	0.09	7	24.34	0.20	0.20	
G3	0	0.00	28 	0.14	29 	0.13	43 	0.17	38 	0.15	22 	0.13	47 	0.22	207	0.16	6	14.20	0.09	0.09	
G3-	0	0.00	0	0.00	1 	0.00	3 	0.01	2 	0.01	0	0.00	2 	0.01	8	0.01	4	6.41	0.34	0.34	
H1	8 	0.42	73 	0.36	113 	0.50	100 	0.40	90 	0.34	41 	0.24	42 	0.20	467	0.35	7	36.94	0.11	0.11	
H2	2 	0.11	4 	0.02	16 	0.07	15 	0.06	17 	0.06	6 	0.04	11 	0.05	71	0.05	7	9.40	0.14	0.14	
H3	0	0.00	3 	0.01	3 	0.01	4 	0.02	12 	0.05	5 	0.03	2 	0.01	29	0.02	6	10.17	0.26	0.27	
H4	10 	0.53	85 	0.42	161 	0.71	135 	0.54	113 	0.43	56 	0.33	59 	0.28	619	0.46	7	54.74	0.12	0.13	
H4-	0	0.00	2 	0.01	4 	0.02	11 	0.04	6 	0.02	13 	0.08	6 	0.03	42	0.03	6	16.79	0.26	0.26	
H5	0	0.00	5 	0.02	4 	0.02	9 	0.04	9 	0.03	3 	0.02	3 	0.01	33	0.02	6	4.95	0.16	0.17	
I1	22 	1.17	74 	0.37	83 	0.37	88 	0.35	98 	0.37	66 	0.39	108 	0.51	539	0.40	7	27.30	0.07	0.07	
I1.1	59 	3.13	268 	1.33	441 	1.94	359 	1.45	318 	1.22	165 	0.99	304 	1.44	1914	1.43	7	102.27	0.08	0.08	
I1.1+	0	0.00	27 	0.13	27 	0.12	18 	0.07	27 	0.10	10 	0.06	15 	0.07	124	0.09	6	13.19	0.14	0.14	
I1.1++	0	0.00	1 	0.00	2 	0.01	2 	0.01	1 	0.00	0	0.00	1 	0.00	7	0.01	5	2.86	0.22	0.22	
I1.1+++	0	0.00	0	0.00	2 	0.01	7 	0.03	1 	0.00	1 	0.01	1 	0.00	12	0.01	5	12.13	0.40	0.40	
I1.1-	1 	0.05	14 	0.07	15 	0.07	34 	0.14	42 	0.16	21 	0.13	52 	0.25	179	0.13	7	35.78	0.18	0.18	
I1.1--	0	0.00	0	0.00	2 	0.01	0	0.00	3 	0.01	0	0.00	4 	0.02	9	0.01	3	12.54	0.48	0.48	
I1.1---	1 	0.05	0	0.00	3 	0.01	3 	0.01	5 	0.02	2 	0.01	4 	0.02	18	0.01	6	7.70	0.19	0.19	
I1.2	9 	0.48	94 	0.47	182 	0.80	98 	0.40	106 	0.41	47 	0.28	96 	0.46	632	0.47	7	64.41	0.12	0.12	
I1.2-	0	0.00	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	3	0.00	2	7.44	0.69	0.70	
I1.3	10 	0.53	47 	0.23	53 	0.23	63 	0.25	43 	0.16	34 	0.20	76 	0.36	326	0.24	7	24.21	0.10	0.10	
I1.3+	1 	0.05	3 	0.01	7 	0.03	4 	0.02	7 	0.03	2 	0.01	12 	0.06	36	0.03	7	10.13	0.21	0.22	
I1.3+++	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.01	0	0.00	0	0.00	2	0.00	1	6.52	0.80	0.82	
I1.3-	2 	0.11	18 	0.09	32 	0.14	25 	0.10	30 	0.11	20 	0.12	27 	0.13	154	0.12	7	3.27	0.06	0.06	
I1.3--	0	0.00	0	0.00	3 	0.01	0	0.00	0	0.00	0	0.00	2 	0.01	5	0.00	2	11.28	0.67	0.68	
I1.3---	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	2 	0.01	3	0.00	2	6.83	0.65	0.66	
I2	0	0.00	2 	0.01	2 	0.01	6 	0.02	0	0.00	0	0.00	3 	0.01	13	0.01	4	12.88	0.35	0.36	
I2.1	16 	0.85	165 	0.82	128 	0.56	145 	0.58	197 	0.75	54 	0.32	145 	0.69	850	0.64	7	51.92	0.10	0.10	
I2.2	6 	0.32	96 	0.48	83 	0.37	139 	0.56	127 	0.49	68 	0.41	115 	0.55	634	0.48	7	14.87	0.06	0.06	
I3.1	14 	0.74	201 	1.00	163 	0.72	346 	1.40	307 	1.17	119 	0.71	165 	0.78	1315	0.99	7	89.28	0.12	0.12	
I3.1-	0	0.00	12 	0.06	5 	0.02	11 	0.04	9 	0.03	7 	0.04	12 	0.06	56	0.04	6	6.94	0.13	0.13	
I3.2	0	0.00	1 	0.00	1 	0.00	2 	0.01	3 	0.01	0	0.00	1 	0.00	8	0.01	5	3.62	0.24	0.25	
I3.2+	0	0.00	4 	0.02	1 	0.00	6 	0.02	8 	0.03	10 	0.06	0	0.00	29	0.02	5	23.07	0.32	0.32	
I4	5 	0.27	22 	0.11	28 	0.12	58 	0.23	25 	0.10	13 	0.08	26 	0.12	177	0.13	7	26.18	0.16	0.16	
K1	11 	0.58	26 	0.13	24 	0.11	27 	0.11	45 	0.17	7 	0.04	28 	0.13	168	0.13	7	34.67	0.14	0.14	
K2	0	0.00	6 	0.03	8 	0.04	2 	0.01	4 	0.02	0	0.00	6 	0.03	26	0.02	5	13.70	0.29	0.29	
K3	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.69	0.84	0.85	
K4	0	0.00	9 	0.04	7 	0.03	6 	0.02	6 	0.02	3 	0.02	7 	0.03	38	0.03	6	4.09	0.13	0.13	
K5	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.79	0.85	0.86	
K5.1	3 	0.16	19 	0.09	18 	0.08	35 	0.14	23 	0.09	21 	0.13	21 	0.10	140	0.10	7	6.47	0.10	0.10	
K5.2	0	0.00	3 	0.01	0	0.00	3 	0.01	2 	0.01	5 	0.03	0	0.00	13	0.01	4	14.09	0.38	0.39	
K6	0	0.00	0	0.00	1 	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	2	0.00	2	4.14	0.64	0.65	
L1	0	0.00	2 	0.01	8 	0.04	2 	0.01	3 	0.01	5 	0.03	1 	0.00	21	0.02	6	10.51	0.32	0.33	
